id,name,mileage,model,trim,price
406,پژو، 206,81,17,100,359
407,پژو، 206,9,21,100,545
408,پژو، 206,67,19,100,464
409,پژو، 206,420,3,100,145
410,پژو، 206,105,18,300,475
411,پژو، 206,116,18,100,390
412,پژو، 206,35,20,100,510
413,پژو، 206,19,19,100,460
414,پژو، 206,100,1,0,145
415,پژو، 206,141,17,300,450
416,پژو، 206,154,15,300,440
417,پژو، 206,80,18,300,445
418,پژو، 206,400,2,100,162
419,پژو، 206,11,21,100,535
420,پژو، 206,186,12,300,360
421,پژو، 206,238,11,100,355
422,پژو، 206,382,4,100,230
423,پژو، 206,500,2,100,150
424,پژو، 206,141,15,100,375
425,پژو، 206,0,21,400,600
426,پژو، 206,297,5,200,350
427,پژو، 206,34,19,300,560
428,پژو، 206,136,11,100,350
429,پژو، 206,100,5,0,230
430,پژو، 206,89,16,100,385
431,پژو، 206,22,21,100,535
432,پژو، 206,270,11,100,305
433,پژو، 206,196,14,300,390
434,پژو، 206,190,11,200,380
435,پژو، 206,120,16,300,400
436,پژو، 206,81,18,300,425
437,پژو، 206,35,20,100,495
438,پژو، 206,42,21,100,515
439,پژو، 206,400,2,100,200
440,پژو، 206,328,2,100,248
441,پژو، 206,42,19,100,485
442,پژو، 206,85,13,300,380
443,پژو، 206,94,19,100,438
444,پژو، 206,135,18,300,455
445,پژو، 206,374,5,100,200
446,پژو، 206,91,18,100,425
447,پژو، 206,78,17,100,412
448,پژو، 206,140,15,100,388
449,پژو، 206,15,21,100,545
450,پژو، 206,163,14,300,408
451,پژو، 206,16,19,100,500
452,پژو، 206,36,21,400,540
453,پژو، 206,110,15,100,358
454,پژو، 206,80,18,100,445
455,پژو، 206,230,3,300,173
456,پژو، 206,150,16,300,450
457,پژو، 206,149,16,100,407
458,پژو، 206,72,18,300,515
459,پژو، 206,440,3,100,210
460,پژو، 206,128,16,300,446
461,پژو، 206,47,19,100,475
462,پژو، 206,153,14,100,320
463,پژو، 206,150,14,100,360
464,پژو، 206,130,14,100,320
465,پژو، 206,76,18,100,430
466,پژو، 206,190,10,100,260
467,پژو، 206,350,1,100,220
468,پژو، 206,67,11,100,345
469,پژو، 206,62,18,100,457
470,پژو، 206,17,22,400,575
471,پژو، 206,56,21,400,550
472,پژو، 206,16,21,100,522
473,پژو، 206,191,8,200,345
